ID,IP/CIDR,Scanner Name,Scanner Type,Source File,Country Code,Country Name,ISP,Organization,Abuse Confidence Score,Abuse Reports,Usage Type,Domain,Last Seen,First Seen,Tags,Notes,Risk Level,Export Date
scanner_1,109.74.200.32,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_2,139.162.228.125,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_3,139.162.30.51,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_4,172.105.64.245,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_5,173.230.135.45,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_6,173.255.196.154,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_7,173.255.235.156,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_8,185.3.95.35,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_9,192.53.122.19,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_10,50.116.22.140,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_11,72.14.190.110,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_12,104.156.155.0/24,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_13,104.237.151.205,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_14,139.162.119.12,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_15,139.162.119.146,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_16,139.162.119.196,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_17,139.162.119.49,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_18,139.162.119.51,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
