ID,IP/CIDR,Scanner Name,Scanner Type,Source File,Country Code,Country Name,ISP,Organization,RDAP Name,RDAP Handle,RDAP CIDR,RDAP Registry,Start Address,End Address,IP Version,RDAP Type,Parent Handle,Event Registration,Event Last Changed,ASN,AS Name,Reverse DNS,Abuse Confidence Score,Abuse Reports,Usage Type,Domain,Last Seen,First Seen,Tags,Notes,Risk Level,Export Date,Abuse Email,Tech Email
,109.74.200.32,,,,GB,United Kingdom,LINODE,LINODE-UK,LINODE-UK,109.74.200.0 - 109.74.207.255,,whois.ripe.net,109.74.200.0,109.74.207.255,v4,ASSIGNED PA,109.74.192.0 - 109.74.207.255,2009-11-06T14:07:27Z,2010-03-20T02:53:24Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.228.125,,,,GB,United Kingdom,"Akamai Technologies, Inc.",EU-LINODE-20141229,EU-LINODE-20141229,139.162.0.0 - 139.162.255.255,,whois.ripe.net,139.162.0.0,139.162.255.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2004-02-02T16:20:09Z,2022-12-12T21:26:29Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,139-162-228-125.ip.linodeusercontent.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,139.162.30.51,,,,SG,Singapore,LINODE,LINODE-AP,LINODE-AP,139.162.0.1 - 139.162.31.255,,whois.ripe.net,139.162.0.1,139.162.31.255,v4,LEGACY,139.162.0.0 - 139.162.255.255,2015-01-31T05:10:06Z,2015-01-31T05:10:54Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,139-162-30-51.ip.linodeusercontent.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,172.105.64.245,,,,DE,Germany,Akamai Technologies,LINODE,LINODE,NET-172-104-0-0-2,,whois.arin.net,172.104.0.0,172.105.146.255,v4,ASSIGNMENT,NET-172-104-0-0-1,2022-12-21T11:22:34-05:00,2023-09-18T10:39:07-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,172-105-64-245.ip.linodeusercontent.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,173.230.135.45,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-173-230-128-0-2,,whois.arin.net,173.230.128.0,173.230.159.255,v4,ASSIGNMENT,NET-173-230-128-0-1,2022-12-21T11:01:11-05:00,2023-09-18T10:39:40-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,173-230-135-45.ip.linodeusercontent.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,173.255.196.154,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-173-255-192-0-2,,whois.arin.net,173.255.192.0,173.255.255.255,v4,ASSIGNMENT,NET-173-255-192-0-1,2022-12-21T11:02:02-05:00,2023-09-18T10:39:52-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,173-255-196-154.ip.linodeusercontent.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,173.255.235.156,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-173-255-192-0-2,,whois.arin.net,173.255.192.0,173.255.255.255,v4,ASSIGNMENT,NET-173-255-192-0-1,2022-12-21T11:02:02-05:00,2023-09-18T10:39:52-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,185.3.95.35,,,,GB,United Kingdom,"Akamai Technologies, Inc.",US-LINODE-20120920,US-LINODE-20120920,185.3.92.0 - 185.3.95.255,,whois.ripe.net,185.3.92.0,185.3.95.255,v4,ALLOCATED PA,0.0.0.0 - 255.255.255.255,2012-09-20T08:47:01Z,2022-12-07T14:28:07Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,185-3-95-35.ip.linodeusercontent.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,192.53.122.19,,,,CA,Canada,"Akamai Technologies, Inc.",US-LINODE-19881220,US-LINODE-19881220,192.53.112.0 - 192.53.127.255,,whois.ripe.net,192.53.112.0,192.53.127.255,v4,LEGACY,0.0.0.0 - 255.255.255.255,2020-12-21T15:31:25Z,2022-12-07T14:28:24Z,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,abuse@linode.com,
,50.116.22.140,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-50-116-0-0-2,,whois.arin.net,50.116.0.0,50.116.63.255,v4,ASSIGNMENT,NET-50-116-0-0-1,2022-12-21T10:19:12-05:00,2023-09-18T10:35:39-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,mail.futurecarib.com,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,72.14.190.110,,,,US,United States,"Akamai Technologies, Inc.",LINODE,LINODE,NET-72-14-176-0-2,,whois.arin.net,72.14.176.0,72.14.191.255,v4,ASSIGNMENT,NET-72-14-176-0-1,2022-12-21T10:31:27-05:00,2023-09-18T10:36:32-04:00,AS63949 Akamai Connected Cloud,Akamai Connected Cloud,ip-72-14-190-110.cloudezapp.io,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
,104.156.155.0/24,,,,,,,ACDRESEARCH,ACDRESEARCH,NET-104-156-155-0-1,,whois.arin.net,104.156.155.0,104.156.155.255,v4,DIRECT ALLOCATION,NET-104-0-0-0-0,2022-01-07T13:38:04-05:00,2022-01-07T13:38:04-05:00,,,,0,0,,,2025-08-14 15:17:39,0001-01-01 00:00:00,extracted;,,unknown,0001-01-01 00:00:00,,
